# x y speed omega solid
7.8855098390e-01 -1.2000000000e+00 2.0396055674e+01 -3.4706911910e-55 0
7.9713774597e-01 -1.2000000000e+00 2.0388224110e+01 -3.8834809602e-55 0
8.0572450805e-01 -1.2000000000e+00 2.0380501564e+01 -4.1058860180e-55 0
8.1431127013e-01 -1.2000000000e+00 2.0372888241e+01 -4.1268294041e-55 0
8.2289803220e-01 -1.2000000000e+00 2.0365384310e+01 -3.9377397487e-55 0
8.3148479428e-01 -1.2000000000e+00 2.0358310877e+01 -3.9007028996e-55 0
8.4007155635e-01 -1.2000000000e+00 2.0351403805e+01 -3.8610308034e-55 0
8.4865831843e-01 -1.2000000000e+00 2.0344590721e+01 -3.7529489342e-55 0
8.5724508050e-01 -1.2000000000e+00 2.0337871611e+01 -3.5822846999e-55 0
8.6583184258e-01 -1.2000000000e+00 2.0331246434e+01 -3.3579597418e-55 0
8.7441860465e-01 -1.2000000000e+00 2.0324658433e+01 -3.1354079738e-55 0
8.8300536673e-01 -1.2000000000e+00 2.0318033759e+01 -2.9765237443e-55 0
8.9159212880e-01 -1.2000000000e+00 2.0311506483e+01 -2.7853175015e-55 0
9.0017889088e-01 -1.2000000000e+00 2.0305076447e+01 -2.5743511736e-55 0
9.0876565295e-01 -1.2000000000e+00 2.0298743466e+01 -2.3548809944e-55 0
9.1735241503e-01 -1.2000000000e+00 2.0292507332e+01 -2.1362710022e-55 0
9.2593917710e-01 -1.2000000000e+00 2.0286367808e+01 -1.9256440838e-55 0
9.3452593918e-01 -1.2000000000e+00 2.0280324637e+01 -1.7277711039e-55 0
9.4311270125e-01 -1.2000000000e+00 2.0274377538e+01 -1.5451712172e-55 0
9.5169946333e-01 -1.2000000000e+00 2.0268526205e+01 -1.3783768673e-55 0
9.6028622540e-01 -1.2000000000e+00 2.0262770315e+01 -1.2263067924e-55 0
9.6887298748e-01 -1.2000000000e+00 2.0257109522e+01 -1.0866893519e-55 0
9.7745974955e-01 -1.2000000000e+00 2.0251468637e+01 -3.1232350863e-55 0
9.8604651163e-01 -1.2000000000e+00 2.0245886710e+01 -5.4852015099e-55 0
9.9463327370e-01 -1.2000000000e+00 2.0240401280e+01 -6.9310052933e-55 0
1.0032200358e+00 -1.2000000000e+00 2.0235011917e+01 -7.4599734189e-55 0
1.0118067979e+00 -1.2000000000e+00 2.0229718177e+01 -7.0718842202e-55 0
1.0203935599e+00 -1.2000000000e+00 2.0224519599e+01 -5.7670504684e-55 0
1.0289803220e+00 -1.2000000000e+00 2.0219415707e+01 -3.5463448742e-55 0
1.0375670841e+00 -1.2000000000e+00 2.0214406014e+01 -4.1118319445e-56 0
1.0461538462e+00 -1.2000000000e+00 2.0209633073e+01 -1.1525610386e-56 0
1.0547406082e+00 -1.2000000000e+00 2.0204952286e+01 -1.1714009069e-56 0
1.0633273703e+00 -1.2000000000e+00 2.0200349859e+01 -1.1968963114e-56 0
1.0719141324e+00 -1.2000000000e+00 2.0195825299e+01 -1.2235878999e-56 0
1.0805008945e+00 -1.2000000000e+00 2.0191378009e+01 -1.2552754809e-56 0
1.0890876565e+00 -1.2000000000e+00 2.0186955862e+01 -5.1290369618e-56 0
1.0976744186e+00 -1.2000000000e+00 2.0182611219e+01 -8.5701972954e-56 0
1.1062611807e+00 -1.2000000000e+00 2.0178343557e+01 -1.1579538380e-55 0
1.1148479428e+00 -1.2000000000e+00 2.0174152347e+01 -1.4158292656e-55 0
1.1234347048e+00 -1.2000000000e+00 2.0170037056e+01 -1.6308000813e-55 0
1.1320214669e+00 -1.2000000000e+00 2.0165997150e+01 -1.8030412814e-55 0
1.1406082290e+00 -1.2000000000e+00 2.0162032092e+01 -1.9327420887e-55 0
1.1491949911e+00 -1.2000000000e+00 2.0158141344e+01 -2.0201015222e-55 0
1.1577817531e+00 -1.2000000000e+00 2.0154324367e+01 -2.0653255250e-55 0
1.1663685152e+00 -1.2000000000e+00 2.0150580624e+01 -2.0686251295e-55 0
1.1749552773e+00 -1.2000000000e+00 2.0146909576e+01 -2.0302152906e-55 0
1.1835420394e+00 -1.2000000000e+00 2.0143310687e+01 -1.9503141412e-55 0
1.1921288014e+00 -1.2000000000e+00 2.0139783424e+01 -1.8291425042e-55 0
1.2007155635e+00 -1.2000000000e+00 2.0136326604e+01 -1.9599779312e-55 0
1.2093023256e+00 -1.2000000000e+00 2.0132933342e+01 -4.5907723449e-55 0
1.2178890877e+00 -1.2000000000e+00 2.0129610400e+01 -5.9251608880e-55 0
1.2264758497e+00 -1.2000000000e+00 2.0126357253e+01 -5.9702924396e-55 0
1.2350626118e+00 -1.2000000000e+00 2.0123173384e+01 -4.7333724820e-55 0
1.2436493739e+00 -1.2000000000e+00 2.0120058277e+01 -2.2216591120e-55 0
1.2522361360e+00 -1.2000000000e+00 2.0117007111e+01 -1.0136348881e-56 0
1.2608228980e+00 -1.2000000000e+00 2.0114009353e+01 -1.1193506816e-56 0
1.2694096601e+00 -1.2000000000e+00 2.0111067726e+01 -1.2120490459e-56 0
1.2779964222e+00 -1.2000000000e+00 2.0108181803e+01 -1.2918088820e-56 0
1.2865831843e+00 -1.2000000000e+00 2.0105351163e+01 -1.3587094027e-56 0
1.2951699463e+00 -1.2000000000e+00 2.0102575394e+01 -1.4128300982e-56 0
1.3037567084e+00 -1.2000000000e+00 2.0099854092e+01 -1.4542507035e-56 0
1.3123434705e+00 -1.2000000000e+00 2.0097186861e+01 -1.4830511674e-56 0
1.3209302326e+00 -1.2000000000e+00 2.0094573314e+01 -1.4993116218e-56 0
1.3295169946e+00 -1.2000000000e+00 2.0092013070e+01 -1.5031123534e-56 0
1.3381037567e+00 -1.2000000000e+00 2.0089519509e+01 -2.7889442223e-56 0
1.3466905188e+00 -1.2000000000e+00 2.0087086450e+01 -4.6018056878e-56 0
1.3552772809e+00 -1.2000000000e+00 2.0084705225e+01 -6.1130097576e-56 0
1.3638640429e+00 -1.2000000000e+00 2.0082375489e+01 -7.3245206923e-56 0
1.3724508050e+00 -1.2000000000e+00 2.0080096906e+01 -8.2383041307e-56 0
1.3810375671e+00 -1.2000000000e+00 2.0077869148e+01 -8.8563264930e-56 0
1.3896243292e+00 -1.2000000000e+00 2.0075691895e+01 -9.1805544138e-56 0
1.3982110912e+00 -1.2000000000e+00 2.0073564837e+01 -9.2129542089e-56 0
1.4067978533e+00 -1.2000000000e+00 2.0071487671e+01 -8.9554913908e-56 0
1.4153846154e+00 -1.2000000000e+00 2.0069460101e+01 -8.4101302611e-56 0
1.4239713775e+00 -1.2000000000e+00 2.0067481840e+01 -7.5788336282e-56 0
1.4325581395e+00 -1.2000000000e+00 2.0065552608e+01 -6.4635627478e-56 0
1.4411449016e+00 -1.2000000000e+00 2.0063672134e+01 -5.0662776534e-56 0
1.4497316637e+00 -1.2000000000e+00 2.0061840151e+01 -3.3889381714e-56 0
1.4583184258e+00 -1.2000000000e+00 2.0060056402e+01 -1.4335061227e-56 0
1.4669051878e+00 -1.2000000000e+00 2.0058278575e+01 -5.2537287327e-58 0
1.4754919499e+00 -1.2000000000e+00 2.0056470384e+01 -5.3659265413e-58 0
1.4840787120e+00 -1.2000000000e+00 2.0054711799e+01 -6.7948319047e-58 0
1.4926654741e+00 -1.2000000000e+00 2.0053021278e+01 -1.1782910443e-57 0
1.5012522361e+00 -1.2000000000e+00 2.0051369261e+01 -1.6339119014e-57 0
1.5098389982e+00 -1.2000000000e+00 2.0049755580e+01 -2.0502443973e-57 0
1.5184257603e+00 -1.2000000000e+00 2.0048180075e+01 -2.4334116643e-57 0
1.5270125224e+00 -1.2000000000e+00 2.0046642588e+01 -2.7929481557e-57 0
1.5355992844e+00 -1.2000000000e+00 2.0045142962e+01 -3.1434866832e-57 0
1.5441860465e+00 -1.2000000000e+00 2.0043681045e+01 -3.5070790667e-57 0
1.5527728086e+00 -1.2000000000e+00 2.0042256689e+01 -3.9162764222e-57 0
1.5613595707e+00 -1.2000000000e+00 2.0040869744e+01 -4.4180587218e-57 0
1.5699463327e+00 -1.2000000000e+00 2.0039520064e+01 -5.0786251723e-57 0
1.5785330948e+00 -1.2000000000e+00 2.0038207503e+01 -5.9889254962e-57 0
1.5871198569e+00 -1.2000000000e+00 2.0036931917e+01 -7.2706202724e-57 0
1.5957066190e+00 -1.2000000000e+00 2.0035693160e+01 -9.0819083198e-57 0
1.6042933810e+00 -1.2000000000e+00 2.0034491086e+01 -1.1622367324e-56 0
1.6128801431e+00 -1.2000000000e+00 2.0033325550e+01 -1.5135655850e-56 0
1.6214669052e+00 -1.2000000000e+00 2.0032196403e+01 -1.9908676330e-56 0
1.6300536673e+00 -1.2000000000e+00 2.0031103497e+01 -2.6265673097e-56 0
