# x y r theta psi omega ur utheta ux uy speed
2.7440958142e-02 0.0000000000e+00 2.7440958142e-02 0.0000000000e+00 -2.1789180184e-05 -1.3033397495e+01 -6.3859751309e+00 -4.7018322325e-03 -6.3859751309e+00 -4.7018322325e-03 6.3859768618e+00
2.8845955115e-02 0.0000000000e+00 2.8845955115e-02 0.0000000000e+00 -1.5110731212e-05 -1.1940840028e+01 -4.0127051418e+00 -4.7425463129e-03 -4.0127051418e+00 -4.7425463129e-03 4.0127079444e+00
3.0338290896e-02 0.0000000000e+00 3.0338290896e-02 0.0000000000e+00 -8.0503920784e-06 -1.0736436757e+01 -1.6914542241e+00 -4.6580147837e-03 -1.6914542241e+00 -4.6580147837e-03 1.6914606378e+00
3.1923394726e-02 0.0000000000e+00 3.1923394726e-02 0.0000000000e+00 -7.8994692281e-07 -9.4457445717e+00 5.3696175829e-01 -4.4482298514e-03 5.3696175829e-01 -4.4482298514e-03 5.3698018270e-01
3.3607033343e-02 0.0000000000e+00 3.3607033343e-02 0.0000000000e+00 6.4628648046e-06 -8.1009891216e+00 2.6389761819e+00 -4.1242054679e-03 2.6389761819e+00 -4.1242054679e-03 2.6389794045e+00
3.5395331965e-02 0.0000000000e+00 3.5395331965e-02 0.0000000000e+00 1.3489406883e-05 -6.7396742688e+00 4.5922741401e+00 -3.7045713471e-03 4.5922741401e+00 -3.7045713471e-03 4.5922756343e+00
3.7294796569e-02 0.0000000000e+00 3.7294796569e-02 0.0000000000e+00 2.0072957619e-05 -5.4049889319e+00 6.3873697340e+00 -3.2122587219e-03 6.3873697340e+00 -3.2122587219e-03 6.3873705417e+00
3.9312337565e-02 0.0000000000e+00 3.9312337565e-02 0.0000000000e+00 2.6010057299e-05 -4.1425342473e+00 8.0264677879e+00 -2.6722992045e-03 8.0264677879e+00 -2.6722992045e-03 8.0264682327e+00
4.1455294935e-02 0.0000000000e+00 4.1455294935e-02 0.0000000000e+00 3.1121110120e-05 -2.9959530908e+00 9.5202725670e+00 -2.1106569453e-03 9.5202725670e+00 -2.1106569453e-03 9.5202728010e+00
4.3731464934e-02 0.0000000000e+00 4.3731464934e-02 0.0000000000e+00 3.5261942693e-05 -2.0024809120e+00 1.0883979896e+01 -1.5538885076e-03 1.0883979896e+01 -1.5538885076e-03 1.0883980007e+01
4.6149128458e-02 0.0000000000e+00 4.6149128458e-02 0.0000000000e+00 3.8337387691e-05 -1.1881434662e+00 1.2133659632e+01 -1.0288783987e-03 1.2133659632e+01 -1.0288783987e-03 1.2133659675e+01
4.8717081167e-02 0.0000000000e+00 4.8717081167e-02 0.0000000000e+00 4.0316164410e-05 -5.6125183867e-01 1.3283049335e+01 -5.6100630206e-04 1.3283049335e+01 -5.6100630206e-04 1.3283049347e+01
5.1444665484e-02 0.0000000000e+00 5.1444665484e-02 0.0000000000e+00 4.1239233176e-05 -1.0946869377e-01 1.4340193311e+01 -1.6911444696e-04 1.4340193311e+01 -1.6911444696e-04 1.4340193312e+01
5.4341804588e-02 0.0000000000e+00 5.4341804588e-02 0.0000000000e+00 4.1208188822e-05 1.8844471690e-01 1.5306943935e+01 1.3811953374e-04 1.5306943935e+01 1.3811953374e-04 1.5306943936e+01
5.7419038510e-02 0.0000000000e+00 5.7419038510e-02 0.0000000000e+00 4.0366739636e-05 3.4917488474e-01 1.6184738401e+01 3.5379067819e-04 1.6184738401e+01 3.5379067819e-04 1.6184738405e+01
6.0687562482e-02 0.0000000000e+00 6.0687562482e-02 0.0000000000e+00 3.8931424125e-05 4.0836932801e-01 1.6976110513e+01 4.5915317217e-04 1.6976110513e+01 4.5915317217e-04 1.6976110520e+01
6.4159267665e-02 0.0000000000e+00 6.4159267665e-02 0.0000000000e+00 3.7263553574e-05 4.6006617742e-01 1.7667532529e+01 4.4043690958e-04 1.7667532529e+01 4.4043690958e-04 1.7667532535e+01
6.7846784410e-02 0.0000000000e+00 6.7846784410e-02 0.0000000000e+00 3.5796031787e-05 6.1210456990e-01 1.8219817056e+01 3.4462521979e-04 1.8219817056e+01 3.4462521979e-04 1.8219817059e+01
7.1763528208e-02 0.0000000000e+00 7.1763528208e-02 0.0000000000e+00 3.4668149975e-05 8.5301842897e-01 1.8615446602e+01 3.0002952717e-04 1.8615446602e+01 3.0002952717e-04 1.8615446604e+01
7.5923748497e-02 0.0000000000e+00 7.5923748497e-02 0.0000000000e+00 3.3366646189e-05 1.0072245906e+00 1.8928868477e+01 4.2593365809e-04 1.8928868477e+01 4.2593365809e-04 1.8928868482e+01
8.0342580502e-02 0.0000000000e+00 8.0342580502e-02 0.0000000000e+00 3.0953732680e-05 8.9210914906e-01 1.9305997392e+01 7.0140480381e-04 1.9305997392e+01 7.0140480381e-04 1.9305997405e+01
8.5036100301e-02 0.0000000000e+00 8.5036100301e-02 0.0000000000e+00 2.6887199295e-05 5.1359128748e-01 1.9831851418e+01 9.6250352982e-04 1.9831851418e+01 9.6250352982e-04 1.9831851441e+01
9.0021383307e-02 0.0000000000e+00 9.0021383307e-02 0.0000000000e+00 2.1580037546e-05 6.9156895773e-02 2.0418465542e+01 1.0543452416e-03 2.0418465542e+01 1.0543452416e-03 2.0418465570e+01
9.5316566392e-02 0.0000000000e+00 9.5316566392e-02 0.0000000000e+00 1.6054570381e-05 -2.3011941572e-01 2.0852624838e+01 9.6244653193e-04 2.0852624838e+01 9.6244653193e-04 2.0852624860e+01
1.0094091387e-01 0.0000000000e+00 1.0094091387e-01 0.0000000000e+00 1.1125584331e-05 -3.1168379969e-01 2.0974910524e+01 7.9240265869e-04 2.0974910524e+01 7.9240265869e-04 2.0974910539e+01
