# x y speed omega solid
1.0483286908e-01 -4.5000000000e-02 2.0068352654e+01 -1.6660531689e+00 0
1.0533426184e-01 -4.5000000000e-02 2.0062199280e+01 -1.7349022511e+00 0
1.0583565460e-01 -4.5000000000e-02 2.0056104707e+01 -1.5315420388e+00 0
1.0633704735e-01 -4.5000000000e-02 2.0050166964e+01 -1.3298071194e+00 0
1.0683844011e-01 -4.5000000000e-02 2.0044384347e+01 -1.1296792368e+00 0
1.0733983287e-01 -4.5000000000e-02 2.0038755175e+01 -9.3114038831e-01 0
1.0784122563e-01 -4.5000000000e-02 2.0033277789e+01 -7.3417282025e-01 0
1.0834261838e-01 -4.5000000000e-02 2.0027950552e+01 -5.3875902435e-01 0
1.0884401114e-01 -4.5000000000e-02 2.0022771848e+01 -3.4488173380e-01 0
1.0934540390e-01 -4.5000000000e-02 2.0017740083e+01 -1.5252391947e-01 0
1.0984679666e-01 -4.5000000000e-02 2.0012853684e+01 3.8331213818e-02 0
1.1034818942e-01 -4.5000000000e-02 2.0008111098e+01 2.2770023090e-01 0
1.1084958217e-01 -4.5000000000e-02 2.0003510793e+01 4.1559946989e-01 0
1.1135097493e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1185236769e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1235376045e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1285515320e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1335654596e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1385793872e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1435933148e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1486072423e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1536211699e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1586350975e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1636490251e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1686629526e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1736768802e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1786908078e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1837047354e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1887186630e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1937325905e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.1987465181e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
1.2037604457e-01 -4.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0
