# x y rho u v p
0.6312500000 0.0012500000 0.4219517474 0.9275990372 -0.0000000000 0.3031179020
0.6337500000 0.0012500000 0.4214491140 0.9275953333 -0.0000000000 0.3031197785
0.6362500000 0.0012500000 0.4208127902 0.9275918658 -0.0000000000 0.3031215574
0.6387500000 0.0012500000 0.4200098738 0.9275886198 -0.0000000000 0.3031232446
0.6412500000 0.0012500000 0.4190027866 0.9275855816 -0.0000000000 0.3031248455
0.6437500000 0.0012500000 0.4177498308 0.9275827382 -0.0000000000 0.3031263650
0.6462500000 0.0012500000 0.4162061829 0.9275800776 -0.0000000000 0.3031278076
0.6487500000 0.0012500000 0.4143253546 0.9275775885 -0.0000000000 0.3031291774
0.6512500000 0.0012500000 0.4120611115 0.9275752603 -0.0000000000 0.3031304779
0.6537500000 0.0012500000 0.4093697890 0.9275730831 -0.0000000000 0.3031317127
0.6562500000 0.0012500000 0.4062128987 0.9275710474 -0.0000000000 0.3031328846
0.6587500000 0.0012500000 0.4025598688 0.9275691444 -0.0000000000 0.3031339965
0.6612500000 0.0012500000 0.3983907252 0.9275673657 -0.0000000000 0.3031350510
0.6637500000 0.0012500000 0.3936984985 0.9275657031 -0.0000000000 0.3031360505
0.6662500000 0.0012500000 0.3884911373 0.9275641489 -0.0000000000 0.3031369975
0.6687500000 0.0012500000 0.3827927340 0.9275626959 -0.0000000000 0.3031378941
0.6712500000 0.0012500000 0.3766439072 0.9275613373 -0.0000000000 0.3031387425
0.6737500000 0.0012500000 0.3701012492 0.9275600667 -0.0000000000 0.3031395449
0.6762500000 0.0012500000 0.3632358242 0.9275588780 -0.0000000000 0.3031403034
0.6787500000 0.0012500000 0.3561307773 0.9275577654 -0.0000000000 0.3031410202
0.6812500000 0.0012500000 0.3488781989 0.9275567235 -0.0000000000 0.3031416974
0.6837500000 0.0012500000 0.3415754451 0.9275557473 -0.0000000000 0.3031423372
0.6862500000 0.0012500000 0.3343211662 0.9275548322 -0.0000000000 0.3031429418
0.6887500000 0.0012500000 0.3272113132 0.9275539736 -0.0000000000 0.3031435133
0.6912500000 0.0012500000 0.3203353874 0.9275531676 -0.0000000000 0.3031440540
0.6937500000 0.0012500000 0.3137731717 0.9275524105 -0.0000000000 0.3031445660
0.6962500000 0.0012500000 0.3075921296 0.9275516987 -0.0000000000 0.3031450513
0.6987500000 0.0012500000 0.3018455987 0.9275510291 -0.0000000000 0.3031455119
0.7012500000 0.0012500000 0.2965718344 0.9275503989 -0.0000000000 0.3031459497
0.7037500000 0.0012500000 0.2917938889 0.9275498051 -0.0000000000 0.3031463664
0.7062500000 0.0012500000 0.2875202549 0.9275492455 -0.0000000000 0.3031467638
0.7087500000 0.0012500000 0.2837461508 0.9275487176 -0.0000000000 0.3031471434
0.7112500000 0.0012500000 0.2804552934 0.9275482194 -0.0000000000 0.3031475064
0.7137500000 0.0012500000 0.2776219906 0.9275477488 0.0000000000 0.3031478543
0.7162500000 0.0012500000 0.2752133841 0.9275473040 0.0000000000 0.3031481880
0.7187500000 0.0012500000 0.2731916906 0.9275468831 0.0000000000 0.3031485085
0.7212500000 0.0012500000 0.2715163109 0.9275464847 0.0000000000 0.3031488167
0.7237500000 0.0012500000 0.2701457084 0.9275461069 0.0000000000 0.3031491132
0.7262500000 0.0012500000 0.2690389939 0.9275457484 0.0000000000 0.3031493988
0.7287500000 0.0012500000 0.2681571807 0.9275454075 0.0000000000 0.3031496738
0.7312500000 0.0012500000 0.2674641069 0.9275450829 0.0000000000 0.3031499388
0.7337500000 0.0012500000 0.2669270428 0.9275447731 0.0000000000 0.3031501941
0.7362500000 0.0012500000 0.2665170175 0.9275444766 0.0000000000 0.3031504399
0.7387500000 0.0012500000 0.2662089097 0.9275441922 0.0000000000 0.3031506764
0.7412500000 0.0012500000 0.2659813538 0.9275439184 0.0000000000 0.3031509039
0.7437500000 0.0012500000 0.2658165082 0.9275436538 0.0000000000 0.3031511223
0.7462500000 0.0012500000 0.2656997353 0.9275433970 0.0000000000 0.3031513318
0.7487500000 0.0012500000 0.2656192287 0.9275431466 0.0000000000 0.3031515324
0.7512500000 0.0012500000 0.2655656242 0.9275429010 0.0000000000 0.3031517241
0.7537500000 0.0012500000 0.2655316162 0.9275426587 0.0000000000 0.3031519067
0.7562500000 0.0012500000 0.2655115986 0.9275424180 0.0000000000 0.3031520801
0.7587500000 0.0012500000 0.2655013409 0.9275421771 0.0000000000 0.3031522441
0.7612500000 0.0012500000 0.2654977050 0.9275419337 0.0000000000 0.3031523982
0.7637500000 0.0012500000 0.2654984048 0.9275416853 0.0000000000 0.3031525421
0.7662500000 0.0012500000 0.2655018067 0.9275414284 0.0000000000 0.3031526749
0.7687500000 0.0012500000 0.2655067676 0.9275411582 0.0000000000 0.3031527952
0.7712500000 0.0012500000 0.2655125072 0.9275408682 0.0000000000 0.3031529013
0.7737500000 0.0012500000 0.2655185077 0.9275405483 0.0000000000 0.3031529899
0.7762500000 0.0012500000 0.2655244372 0.9275401829 0.0000000000 0.3031530562
0.7787500000 0.0012500000 0.2655300929 0.9275397477 0.0000000000 0.3031530922
0.7812500000 0.0012500000 0.2655353576 0.9275392041 0.0000000000 0.3031530854
0.7837500000 0.0012500000 0.2655401680 0.9275384903 0.0000000000 0.3031530151
0.7862500000 0.0012500000 0.2655444906 0.9275375071 0.0000000000 0.3031528483
0.7887500000 0.0012500000 0.2655483024 0.9275360949 0.0000000000 0.3031525317
0.7912500000 0.0012500000 0.2655515728 0.9275339970 0.0000000000 0.3031519793
0.7937500000 0.0012500000 0.2655542451 0.9275308009 0.0000000000 0.3031510529
0.7962500000 0.0012500000 0.2655562126 0.9275258439 0.0000000000 0.3031495300
0.7987500000 0.0012500000 0.2655572843 0.9275180630 0.0000000000 0.3031470542
0.8012500000 0.0012500000 0.2655571333 0.9275057550 0.0000000000 0.3031430537
0.8037500000 0.0012500000 0.2655552156 0.9274861941 0.0000000000 0.3031366138
0.8062500000 0.0012500000 0.2655506418 0.9274550232 0.0000000000 0.3031262720
0.8087500000 0.0012500000 0.2655419738 0.9274052835 0.0000000000 0.3031096930
0.8112500000 0.0012500000 0.2655269007 0.9273258721 0.0000000000 0.3030831509
0.8137500000 0.0012500000 0.2655017248 0.9271990877 0.0000000000 0.3030407074
0.8162500000 0.0012500000 0.2654605438 0.9269967307 0.0000000000 0.3029729059
0.8187500000 0.0012500000 0.2653939560 0.9266739082 -0.0000000000 0.3028647026
0.8212500000 0.0012500000 0.2652870099 0.9261592086 -0.0000000000 0.3026921932
