# step time[s] dt[s] max_speed[m/s] max_vorticity[1/s] max_delta_omega poisson_iters
8800 1.2567010210e-02 1.4280693421e-06 4.0023525004e+01 1.0325766262e+05 1.0003214648e+01 1
8840 1.2624132984e-02 1.4280693421e-06 4.0022451094e+01 1.0325037302e+05 1.0017458013e+01 1
8880 1.2681255758e-02 1.4280693421e-06 4.0021366930e+01 1.0324320945e+05 1.0031268478e+01 1
8920 1.2738378531e-02 1.4280693421e-06 4.0020272564e+01 1.0323617806e+05 1.0048029128e+01 1
8960 1.2795501305e-02 1.4280693421e-06 4.0019167761e+01 1.0322926741e+05 1.0068132611e+01 1
9000 1.2852624079e-02 1.4280693421e-06 4.0018052140e+01 1.0322247448e+05 1.0087710740e+01 1
9040 1.2909746852e-02 1.4280693421e-06 4.0016925842e+01 1.0321579880e+05 1.0106712729e+01 1
9080 1.2966869626e-02 1.4280693421e-06 4.0015788349e+01 1.0320923273e+05 1.0125103111e+01 1
9120 1.3023992400e-02 1.4280693421e-06 4.0014639795e+01 1.0320277865e+05 1.0142833515e+01 1
9160 1.3081115173e-02 1.4280693421e-06 4.0013479687e+01 1.0319642555e+05 1.0159871797e+01 1
9200 1.3138237947e-02 1.4280693421e-06 4.0012308043e+01 1.0319017982e+05 1.0184115126e+01 1
9240 1.3195360721e-02 1.4280693421e-06 4.0011124590e+01 1.0318403097e+05 1.0207720906e+01 1
9280 1.3252483494e-02 1.4280693421e-06 4.0009928913e+01 1.0317797637e+05 1.0230521029e+01 1
9320 1.3309606268e-02 1.4280693421e-06 4.0008721119e+01 1.0317201590e+05 1.0252462131e+01 1
9360 1.3366729042e-02 1.4280693421e-06 4.0007500651e+01 1.0316614335e+05 1.0273513888e+01 1
9400 1.3423851815e-02 1.4280693421e-06 4.0006267604e+01 1.0316035921e+05 1.0293629817e+01 1
9440 1.3480974589e-02 1.4280693421e-06 4.0005021412e+01 1.0315465670e+05 1.0312775626e+01 1
9480 1.3538097363e-02 1.4280693421e-06 4.0003762157e+01 1.0314903750e+05 1.0339122925e+01 1
9520 1.3595220137e-02 1.4280693421e-06 4.0002489265e+01 1.0314349208e+05 1.0364717448e+01 1
9560 1.3652342910e-02 1.4280693421e-06 4.0001202802e+01 1.0313802835e+05 1.0389158318e+01 1
9600 1.3709465684e-02 1.4280693421e-06 3.9999902208e+01 1.0313263190e+05 1.0412410932e+01 1
9640 1.3766588458e-02 1.4280693421e-06 3.9998587437e+01 1.0312731008e+05 1.0434445028e+01 1
9680 1.3823711231e-02 1.4280693421e-06 3.9997258147e+01 1.0312205418e+05 1.0477725532e+01 1
9720 1.3880834005e-02 1.4280693421e-06 3.9995913851e+01 1.0311686193e+05 1.0521964260e+01 1
9760 1.3937956779e-02 1.4280693421e-06 3.9994554591e+01 1.0311173378e+05 1.0564944362e+01 1
9800 1.3995079552e-02 1.4280693421e-06 3.9993179734e+01 1.0310666379e+05 1.0614005010e+01 1
9840 1.4052202326e-02 1.4280693421e-06 3.9991789307e+01 1.0310165406e+05 1.0667509704e+01 1
9880 1.4109325100e-02 1.4280693421e-06 3.9990382689e+01 1.0309669657e+05 1.0719482312e+01 1
9920 1.4166447873e-02 1.4280693421e-06 3.9988959788e+01 1.0309179611e+05 1.0769830505e+01 1
